city,house type,house_area,garden_area,rooms,balconies,air_condition,parking,protected_room,elevator,renovated,furniture,accessibility,bars,storage,price,rent price,cap rate
ramat gan,apartment,86.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3100000.0,8078,3.127
ashdod,apartment,104.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2590000.0,4832,2.239
natanya,private house,200.0,90.0,4.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3890000.0,9200,2.838
beer sheva,apartment,115.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1300000.0,3944,3.641
beer sheva,apartment,120.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1730000.0,4009,2.781
haifa,apartment,120.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2190000.0,7172,3.930
petah tikva,apartment,85.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2040000.0,4527,2.663
jerusalem,apartment,180.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4500000.0,9266,2.471
jerusalem,apartment,60.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2050000.0,4746,2.778
ramat gan,apartment,100.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3490000.0,7983,2.745
natanya,apartment,120.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3050000.0,7354,2.893
haifa,apartment,110.0,0.0,4.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1499000.0,4354,3.486
ashkelon,apartment,110.0,0.0,4.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1920000.0,4250,2.656
ashdod,apartment,64.0,0.0,3.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1700000.0,3661,2.584
